Variant,Date Hour and Minute,Source / Medium,City,Sessions,ga:goal14Completions,ga:goal17Completions,ga:goal18Completions
0,202304111125,google / organic,Yakutsk,0,0,0,0
0,202304111126,google / organic,Moscow,0,0,0,0
0,202304111126,google / organic,Nizhny Novgorod,1,0,0,0
0,202304111127,google / organic,Nizhny Novgorod,0,0,0,0
0,202304111127,promo_widget / leadplan,Belgrade,1,0,0,0
0,202304111127,yandex / cpc,Saratov,1,0,0,0
0,202304111130,google / organic,Irkutsk,0,1,0,0
0,202304111130,google / organic,Nizhny Novgorod,0,0,0,0
0,202304111130,yandex / cpc,Saratov,0,0,0,0
0,202304111133,advcake / cpa,(not set),1,0,0,0
0,202304111134,advcake / cpa,(not set),0,0,0,0
0,202304111135,blog.alter.ru / referral,Saint Petersburg,1,0,0,0
0,202304111136,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111137,google / cpc,Daejeon,1,0,0,0
0,202304111139,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111140,google / organic,Magadan,1,0,0,0
0,202304111141,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111142,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111143,google / organic,Nizhny Novgorod,1,0,0,0
0,202304111144,(direct) / (none),Chisinau,1,0,0,0
0,202304111146,(direct) / (none),Chisinau,0,0,0,0
0,202304111149,blog.alter.ru / referral,Saint Petersburg,0,0,1,0
0,202304111154,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111154,google / organic,Moscow,1,0,0,0
0,202304111155,google / organic,Moscow,0,0,0,0
0,202304111156,google / organic,Nizhny Novgorod,1,0,0,0
0,202304111158,google / organic,Moscow,0,0,0,0
0,202304111159,google / organic,Moscow,0,0,0,0
0,202304111200,(direct) / (none),(not set),1,0,0,0
